title,series,author,description,language,genres,characters,setting,coverImg,embedding_text
Left Behind,Left Behind #1,"Tim LaHaye, Jerry B. Jenkins","An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun...",English,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Fantasy', 'Thriller', 'Christianity', 'Science Fiction', 'Apocalyptic', 'Spirituality']","['The Anti-Christ', 'Nicolae Carpathia', 'Rayford Steele', 'Cameron ""Buck"" Williams', 'Bruce Barnes']","['Illinois (United States)', 'New York City, New York (United States)', 'Mount Prospect, Illinois (United States)', 'Chicago, Illinois (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406505054l/27523.jpg,"Left Behind Left Behind #1 Tim LaHaye, Jerry B. Jenkins An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun... English ['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Fantasy', 'Thriller', 'Christianity', 'Science Fiction', 'Apocalyptic', 'Spirituality'] ['The Anti-Christ', 'Nicolae Carpathia', 'Rayford Steele', 'Cameron ""Buck"" Williams', 'Bruce Barnes'] ['Illinois (United States)', 'New York City, New York (United States)', 'Mount Prospect, Illinois (United States)', 'Chicago, Illinois (United States)']"
The Eyre Affair,Thursday Next #1,Jasper Fforde (Goodreads Author),"Great Britain circa 1985: time travel is routine, cloning is a reality (dodos are the resurrected pet of choice), and literature is taken very, very seriously. Baconians are trying to convince the world that Francis Bacon really wrote Shakespeare, there are riots between the Surrealists and Impressionists, and thousands of men are named John Milton, an homage to the real Milton and a very confusing situation for the police. Amidst all this, Acheron Hades, Third Most Wanted Man In the World, steals the original manuscript of Martin Chuzzlewit and kills a minor character, who then disappears from every volume of the novel ever printed! But that's just a prelude . . .Hades' real target is the beloved Jane Eyre, and it's not long before he plucks her from the pages of Bronte's novel. Enter Thursday Next. She's the Special Operative's renowned literary detective, and she drives a Porsche. With the help of her uncle Mycroft's Prose Portal, Thursday enters the novel to rescue Jane Eyre from this heinous act of literary homicide. It's tricky business, all these interlopers running about Thornfield, and deceptions run rampant as their paths cross with Jane, Rochester, and Miss Fairfax. Can Thursday save Jane Eyre and Bronte's masterpiece? And what of the Crimean War? Will it ever end? And what about those annoying black holes that pop up now and again, sucking things into time-space voids . . .Suspenseful and outlandish, absorbing and fun, The Eyre Affair is a caper unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe.",English,"['Fantasy', 'Fiction', 'Mystery', 'Humor', 'Science Fiction', 'Books About Books', 'Time Travel', 'Alternate History', 'Science Fiction Fantasy', 'Adult']","['Thursday Next', 'Jane Eyre', 'Acheron Hades', 'Jack Schitt', 'Landen Parke-Laine', 'Pickwick', 'Emma, Lady Hamilton', ""Thursday's Dad (name unknown)"", 'Braxton Hicks', 'Mrs. Nakajima', 'Joffy Next', 'Polly Next', 'Wednesday Next', 'Spike Stoker', 'Mycroft Next', 'Edward Rochester']","['England', 'Wales', 'Swindon, England (United Kingdom)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445540555l/27003._SY475_.jpg,"The Eyre Affair Thursday Next #1 Jasper Fforde (Goodreads Author) Great Britain circa 1985: time travel is routine, cloning is a reality (dodos are the resurrected pet of choice), and literature is taken very, very seriously. Baconians are trying to convince the world that Francis Bacon really wrote Shakespeare, there are riots between the Surrealists and Impressionists, and thousands of men are named John Milton, an homage to the real Milton and a very confusing situation for the police. Amidst all this, Acheron Hades, Third Most Wanted Man In the World, steals the original manuscript of Martin Chuzzlewit and kills a minor character, who then disappears from every volume of the novel ever printed! But that's just a prelude . . .Hades' real target is the beloved Jane Eyre, and it's not long before he plucks her from the pages of Bronte's novel. Enter Thursday Next. She's the Special Operative's renowned literary detective, and she drives a Porsche. With the help of her uncle Mycroft's Prose Portal, Thursday enters the novel to rescue Jane Eyre from this heinous act of literary homicide. It's tricky business, all these interlopers running about Thornfield, and deceptions run rampant as their paths cross with Jane, Rochester, and Miss Fairfax. Can Thursday save Jane Eyre and Bronte's masterpiece? And what of the Crimean War? Will it ever end? And what about those annoying black holes that pop up now and again, sucking things into time-space voids . . .Suspenseful and outlandish, absorbing and fun, The Eyre Affair is a caper unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe. English ['Fantasy', 'Fiction', 'Mystery', 'Humor', 'Science Fiction', 'Books About Books', 'Time Travel', 'Alternate History', 'Science Fiction Fantasy', 'Adult'] ['Thursday Next', 'Jane Eyre', 'Acheron Hades', 'Jack Schitt', 'Landen Parke-Laine', 'Pickwick', 'Emma, Lady Hamilton', ""Thursday's Dad (name unknown)"", 'Braxton Hicks', 'Mrs. Nakajima', 'Joffy Next', 'Polly Next', 'Wednesday Next', 'Spike Stoker', 'Mycroft Next', 'Edward Rochester'] ['England', 'Wales', 'Swindon, England (United Kingdom)']"
Inheritance,The Inheritance Cycle #4,Christopher Paolini (Goodreads Author),"It began with Eragon... It ends with Inheritance.Not so very long ago, Eragon — Shadeslayer, Dragon Rider — was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders.Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chance.The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost?This is the spellbinding conclusion to Christopher Paolini's worldwide bestselling Inheritance cycle.",English,"['Fantasy', 'Young Adult', 'Dragons', 'Fiction', 'Magic', 'Adventure', 'High Fantasy', 'Epic Fantasy', 'Young Adult Fantasy', 'Science Fiction Fantasy']","['Eragon (The Inheritance Cycle)', 'Saphira (The Inheritance Cycle)', 'Glaedr (The Inheritance Cycle)', 'Roran Garrowsson', 'Sloan (The Inheritance Cycle)', 'Katrina (The Inheritance Cycle)', 'Elva (The Inheritance Cycle)', 'Arya (The Inheritance Cycle)', 'Orik (The Inheritance Cycle)', 'Murtagh (The Inheritance Cycle)', 'Solembum', 'Nasuada', 'Galbatorix', 'Blödhgarm', 'King Orrin', 'Angela the Herbalist']",['Alagaësia'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390886502l/7664041.jpg,"Inheritance The Inheritance Cycle #4 Christopher Paolini (Goodreads Author) It began with Eragon... It ends with Inheritance.Not so very long ago, Eragon — Shadeslayer, Dragon Rider — was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders.Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must confront Galbatorix. When they do, they will have to be strong enough to defeat him. And if they cannot, no one can. There will be no second chance.The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost?This is the spellbinding conclusion to Christopher Paolini's worldwide bestselling Inheritance cycle. English ['Fantasy', 'Young Adult', 'Dragons', 'Fiction', 'Magic', 'Adventure', 'High Fantasy', 'Epic Fantasy', 'Young Adult Fantasy', 'Science Fiction Fantasy'] ['Eragon (The Inheritance Cycle)', 'Saphira (The Inheritance Cycle)', 'Glaedr (The Inheritance Cycle)', 'Roran Garrowsson', 'Sloan (The Inheritance Cycle)', 'Katrina (The Inheritance Cycle)', 'Elva (The Inheritance Cycle)', 'Arya (The Inheritance Cycle)', 'Orik (The Inheritance Cycle)', 'Murtagh (The Inheritance Cycle)', 'Solembum', 'Nasuada', 'Galbatorix', 'Blödhgarm', 'King Orrin', 'Angela the Herbalist'] ['Alagaësia']"
Before I Fall,,Lauren Oliver (Goodreads Author),"For popular high school senior Samantha Kingston, February 12—""Cupid Day""—should be one big party, a day of valentines and roses and the privileges that come with being at the top of the social pyramid. And it is … until she dies in a terrible accident that night.However, she still wakes up the next morning. In fact, Sam lives the last day of her life seven times, until she realizes that by making even the slightest changes, she may hold more power than she ever imagined.Before I Fall is now a major motion picture Zoey Deutch, Halston Sage, and Kian Lawley. Named to numerous state reading lists, the novel was also recognized as a Best Book of the Year by Amazon.com, Barnes & Noble, The Daily Beast, NPR, and Publishers Weekly.",English,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Fantasy', 'Realistic Fiction', 'Teen', 'Paranormal', 'Death', 'Audiobook']","['Kent McFuller', 'Ally Harris', 'Samantha Kingston', 'Lindsay Edgecombe', 'Elody', 'Juliet Sykes', 'Izzy Kingston', 'Rob Cokran']",['Connecticut (United States)'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361044695l/6482837.jpg,"Before I Fall  Lauren Oliver (Goodreads Author) For popular high school senior Samantha Kingston, February 12—""Cupid Day""—should be one big party, a day of valentines and roses and the privileges that come with being at the top of the social pyramid. And it is … until she dies in a terrible accident that night.However, she still wakes up the next morning. In fact, Sam lives the last day of her life seven times, until she realizes that by making even the slightest changes, she may hold more power than she ever imagined.Before I Fall is now a major motion picture Zoey Deutch, Halston Sage, and Kian Lawley. Named to numerous state reading lists, the novel was also recognized as a Best Book of the Year by Amazon.com, Barnes & Noble, The Daily Beast, NPR, and Publishers Weekly. English ['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Fantasy', 'Realistic Fiction', 'Teen', 'Paranormal', 'Death', 'Audiobook'] ['Kent McFuller', 'Ally Harris', 'Samantha Kingston', 'Lindsay Edgecombe', 'Elody', 'Juliet Sykes', 'Izzy Kingston', 'Rob Cokran'] ['Connecticut (United States)']"
The Talisman,The Talisman #1,"Stephen King (Goodreads Author), Peter Straub (Goodreads Author)","On a brisk autumn day, a twelve-year-old boy stands on the shores of the gray Atlantic, near a silent amusement park and a fading ocean resort called the Alhambra. The past has driven Jack Sawyer here: his father is gone, his mother is dying, and the world no longer makes sense. But for Jack everything is about to change. For he has been chosen to make a journey back across America--and into another realm.One of the most influential and heralded works of fantasy ever written, The Talisman is an extraordinary novel of loyalty, awakening, terror, and mystery. Jack Sawyer, on a desperate quest to save his mother's life, must search for a prize across an epic landscape of innocents and monsters, of incredible dangers and even more incredible truths. The prize is essential, but the journey means even more. Let the quest begin. . . .",English,"['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Supernatural', 'Audiobook', 'Paranormal', 'Science Fiction']",['Jack Sawyer'],[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170530286l/59219._SX318_.jpg,"The Talisman The Talisman #1 Stephen King (Goodreads Author), Peter Straub (Goodreads Author) On a brisk autumn day, a twelve-year-old boy stands on the shores of the gray Atlantic, near a silent amusement park and a fading ocean resort called the Alhambra. The past has driven Jack Sawyer here: his father is gone, his mother is dying, and the world no longer makes sense. But for Jack everything is about to change. For he has been chosen to make a journey back across America--and into another realm.One of the most influential and heralded works of fantasy ever written, The Talisman is an extraordinary novel of loyalty, awakening, terror, and mystery. Jack Sawyer, on a desperate quest to save his mother's life, must search for a prize across an epic landscape of innocents and monsters, of incredible dangers and even more incredible truths. The prize is essential, but the journey means even more. Let the quest begin. . . . English ['Horror', 'Fantasy', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Supernatural', 'Audiobook', 'Paranormal', 'Science Fiction'] ['Jack Sawyer'] []"
Where She Went,If I Stay #2,Gayle Forman (Goodreads Author),"It's been three years since the devastating accident... three years since Mia walked out of Adam's life forever.Now living on opposite coasts, Mia is Juilliard's rising star and Adam is LA tabloid fodder, thanks to his new rock star status and celebrity girlfriend. When Adam gets stuck in New York by himself, chance brings the couple together again, for one last night. As they explore the city that has become Mia's home, Adam and Mia revisit the past and open their hearts to the future - and each other.Told from Adam's point of view in the spare, lyrical prose that defined If I Stay, Where She Went explores the devastation of grief, the promise of new hope, and the flame of rekindled romance.",English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Music', 'New Adult', 'Teen', 'Audiobook', 'Young Adult Contemporary']","['Teddy Hall', 'Kim Schein', 'Adam Wilde', 'Mia Hall']","['New York City, New York (United States)', 'Oregon (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347810457l/8492825.jpg,"Where She Went If I Stay #2 Gayle Forman (Goodreads Author) It's been three years since the devastating accident... three years since Mia walked out of Adam's life forever.Now living on opposite coasts, Mia is Juilliard's rising star and Adam is LA tabloid fodder, thanks to his new rock star status and celebrity girlfriend. When Adam gets stuck in New York by himself, chance brings the couple together again, for one last night. As they explore the city that has become Mia's home, Adam and Mia revisit the past and open their hearts to the future - and each other.Told from Adam's point of view in the spare, lyrical prose that defined If I Stay, Where She Went explores the devastation of grief, the promise of new hope, and the flame of rekindled romance. English ['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Music', 'New Adult', 'Teen', 'Audiobook', 'Young Adult Contemporary'] ['Teddy Hall', 'Kim Schein', 'Adam Wilde', 'Mia Hall'] ['New York City, New York (United States)', 'Oregon (United States)']"
Prince Caspian,The Chronicles of Narnia (Publication Order) #2,C.S. Lewis,"The four Pevensies help Caspian battle Miraz and ascend his rightful throneNARNIA... the land between the lamp-post and the castle of Cair Paravel, where animals talk, where magical things happen... and where the adventure begins.Peter, Susan, Edmund, and Lucy are returning to boarding school when they are summoned from the dreary train station (by Susan's own magic horn) to return to the land of Narnia—the land where they had ruled as kings and queens and where their help is desperately needed.",English,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Adventure', 'Christian', 'Middle Grade', 'Christian Fiction', 'Science Fiction Fantasy']","['Aslan', 'Lucy Pevensie', 'Edmund Pevensie', 'Prince Caspian', 'Trumpkin', 'Peter Pevensie', 'Susan Pevensie', 'Reepicheep', 'Bacchus (god)', 'Silenus', 'Nikabrik', 'King Miraz', 'Dr. Cornelius', 'Trufflehunter']",[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308814880l/121749.jpg,"Prince Caspian The Chronicles of Narnia (Publication Order) #2 C.S. Lewis The four Pevensies help Caspian battle Miraz and ascend his rightful throneNARNIA... the land between the lamp-post and the castle of Cair Paravel, where animals talk, where magical things happen... and where the adventure begins.Peter, Susan, Edmund, and Lucy are returning to boarding school when they are summoned from the dreary train station (by Susan's own magic horn) to return to the land of Narnia—the land where they had ruled as kings and queens and where their help is desperately needed. English ['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Adventure', 'Christian', 'Middle Grade', 'Christian Fiction', 'Science Fiction Fantasy'] ['Aslan', 'Lucy Pevensie', 'Edmund Pevensie', 'Prince Caspian', 'Trumpkin', 'Peter Pevensie', 'Susan Pevensie', 'Reepicheep', 'Bacchus (god)', 'Silenus', 'Nikabrik', 'King Miraz', 'Dr. Cornelius', 'Trufflehunter'] []"
The Memory Keeper's Daughter,,Kim Edwards (Goodreads Author),"On a winter night in 1964, Dr. David Henry is forced by a blizzard to deliver his own twins. His son, born first, is perfectly healthy. Yet when his daughter is born, he sees immediately that she has Down's Syndrome. Rationalizing it as a need to protect Norah, his wife, he makes a split-second decision that will alter all of their lives forever. He asks his nurse to take the baby away to an institution and never to reveal the secret. But Caroline, the nurse, cannot leave the infant. Instead, she disappears into another city to raise the child herself. So begins this story that unfolds over a quarter of a century - in which these two families, ignorant of each other, are yet bound by the fateful decision made that long-ago winter night. Norah Henry, who knows only that her daughter died at birth, remains inconsolable; her grief weighs heavily on their marriage. And Paul, their son, raises himself as best he can, in a house grown cold with mourning. Meanwhile, Phoebe, the lost daughter, grows from a sunny child to a vibrant young woman whose mother loves her as fiercely as if she were her own.",English,"['Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Historical Fiction', 'Book Club', 'Drama', 'Chick Lit', 'Novels', 'Family']","['Phoebe', 'Al', 'Dr. David Henry', 'Norah Henry', 'Bree', 'Paul Henry']","['Pittsburgh, Pennsylvania (United States)', 'Lexington, Kentucky (United States)', 'Paris (France)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552112312l/10441._SY475_.jpg,"The Memory Keeper's Daughter  Kim Edwards (Goodreads Author) On a winter night in 1964, Dr. David Henry is forced by a blizzard to deliver his own twins. His son, born first, is perfectly healthy. Yet when his daughter is born, he sees immediately that she has Down's Syndrome. Rationalizing it as a need to protect Norah, his wife, he makes a split-second decision that will alter all of their lives forever. He asks his nurse to take the baby away to an institution and never to reveal the secret. But Caroline, the nurse, cannot leave the infant. Instead, she disappears into another city to raise the child herself. So begins this story that unfolds over a quarter of a century - in which these two families, ignorant of each other, are yet bound by the fateful decision made that long-ago winter night. Norah Henry, who knows only that her daughter died at birth, remains inconsolable; her grief weighs heavily on their marriage. And Paul, their son, raises himself as best he can, in a house grown cold with mourning. Meanwhile, Phoebe, the lost daughter, grows from a sunny child to a vibrant young woman whose mother loves her as fiercely as if she were her own. English ['Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Historical Fiction', 'Book Club', 'Drama', 'Chick Lit', 'Novels', 'Family'] ['Phoebe', 'Al', 'Dr. David Henry', 'Norah Henry', 'Bree', 'Paul Henry'] ['Pittsburgh, Pennsylvania (United States)', 'Lexington, Kentucky (United States)', 'Paris (France)']"
The Knife of Never Letting Go,Chaos Walking #1,Patrick Ness,"Todd Hewitt is the only boy in a town of men. Ever since the settlers were infected with the Noise germ, Todd can hear everything the men think, and they hear everything he thinks. Todd is just a month away from becoming a man, but in the midst of the cacophony, he knows that the town is hiding something from him -- something so awful Todd is forced to flee with only his dog, whose simple, loyal voice he hears too. With hostile men from the town in pursuit, the two stumble upon a strange and eerily silent creature: a girl. Who is she? Why wasn't she killed by the germ like all the females on New World? Propelled by Todd's gritty narration, readers are in for a white-knuckle journey in which a boy on the cusp of manhood must unlearn everything he knows in order to figure out who he truly is.",English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Audiobook', 'Thriller', 'Post Apocalyptic']","['Ben', 'Aaron', 'Hildy', 'Todd Hewitt', 'Viola Eade', 'Mayor Prentiss', 'Cillian', 'Manchee (Dog)', 'Davy Prentiss, Jr.']",['New World'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534503008l/20758104._SY475_.jpg,"The Knife of Never Letting Go Chaos Walking #1 Patrick Ness Todd Hewitt is the only boy in a town of men. Ever since the settlers were infected with the Noise germ, Todd can hear everything the men think, and they hear everything he thinks. Todd is just a month away from becoming a man, but in the midst of the cacophony, he knows that the town is hiding something from him -- something so awful Todd is forced to flee with only his dog, whose simple, loyal voice he hears too. With hostile men from the town in pursuit, the two stumble upon a strange and eerily silent creature: a girl. Who is she? Why wasn't she killed by the germ like all the females on New World? Propelled by Todd's gritty narration, readers are in for a white-knuckle journey in which a boy on the cusp of manhood must unlearn everything he knows in order to figure out who he truly is. English ['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Audiobook', 'Thriller', 'Post Apocalyptic'] ['Ben', 'Aaron', 'Hildy', 'Todd Hewitt', 'Viola Eade', 'Mayor Prentiss', 'Cillian', 'Manchee (Dog)', 'Davy Prentiss, Jr.'] ['New World']"
Shadowfever,Fever #5,Karen Marie Moning (Goodreads Author),"“Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” — MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. — Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years.What follows is a shocking chain of events with devastating consequences, and now Mac struggles to cope with grief while continuing her mission to acquire and control the Sinsar Dubh -- a book of dark, forbidden magic scribed by the mythical Unseelie King, containing the power to create and destroy worlds.In an epic battle between humans and Fae, the hunter becomes the hunted when the Sinsar Dubh turns on Mac and begins mowing a deadly path through those she loves.Who can she turn to? Who can she trust? Who is the woman haunting her dreams? More important, who is Mac herself and what is the destiny she glimpses in the black and crimson designs of an ancient tarot card?From the luxury of the Lord Master’s penthouse to the sordid depths of an Unseelie nightclub, from the erotic bed of her lover to the terrifying bed of the Unseelie King, Mac’s journey will force her to face the truth of her exile, and to make a choice that will either save the world . . . or destroy it.",English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fae', 'Adult', 'Fiction', 'Magic', 'Supernatural']","['MacKayla Lane', 'Rowena', ""Dani O'Malley"", 'Jericho Barrons', ""V'lane"", 'Christian MacKeltar', 'Inspector Jayne', 'Ryodan', 'Queen Aoibheal', 'Darroc', 'Cruce', 'Lor']",['Dublin (Ireland)'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439940228l/7304203._SY475_.jpg,"Shadowfever Fever #5 Karen Marie Moning (Goodreads Author) “Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” — MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. — Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years.What follows is a shocking chain of events with devastating consequences, and now Mac struggles to cope with grief while continuing her mission to acquire and control the Sinsar Dubh -- a book of dark, forbidden magic scribed by the mythical Unseelie King, containing the power to create and destroy worlds.In an epic battle between humans and Fae, the hunter becomes the hunted when the Sinsar Dubh turns on Mac and begins mowing a deadly path through those she loves.Who can she turn to? Who can she trust? Who is the woman haunting her dreams? More important, who is Mac herself and what is the destiny she glimpses in the black and crimson designs of an ancient tarot card?From the luxury of the Lord Master’s penthouse to the sordid depths of an Unseelie nightclub, from the erotic bed of her lover to the terrifying bed of the Unseelie King, Mac’s journey will force her to face the truth of her exile, and to make a choice that will either save the world . . . or destroy it. English ['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fae', 'Adult', 'Fiction', 'Magic', 'Supernatural'] ['MacKayla Lane', 'Rowena', ""Dani O'Malley"", 'Jericho Barrons', ""V'lane"", 'Christian MacKeltar', 'Inspector Jayne', 'Ryodan', 'Queen Aoibheal', 'Darroc', 'Cruce', 'Lor'] ['Dublin (Ireland)']"
Gone,Gone #1,Michael Grant (Goodreads Author),"In the blink of an eye, everyone disappears. Gone. Except for the young.There are teens, but not one single adult. Just as suddenly, there are no phones, no internet, no television. No way to get help. And no way to figure out what's happened.Hunger threatens. Bullies rule. A sinister creature lurks. Animals are mutating. And the teens themselves are changing, developing new talents—unimaginable, dangerous, deadly powers—that grow stronger by the day. It's a terrifying new world. Sides are being chosen, a fight is shaping up. Townies against rich kids. Bullies against the weak. Powerful against powerless. And time is running out: On your 15th birthday, you disappear just like everyone else...",English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Paranormal', 'Romance', 'Adventure', 'Supernatural', 'Teen']","['Sam Temple', 'Astrid Ellison', 'Caine Soren', 'Diana Ladris', 'Drake Merwin', 'Quinn Gaither', 'Lana Lazar', 'Little Pete']","['Perdido Beach, California (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357796831l/2536134.jpg,"Gone Gone #1 Michael Grant (Goodreads Author) In the blink of an eye, everyone disappears. Gone. Except for the young.There are teens, but not one single adult. Just as suddenly, there are no phones, no internet, no television. No way to get help. And no way to figure out what's happened.Hunger threatens. Bullies rule. A sinister creature lurks. Animals are mutating. And the teens themselves are changing, developing new talents—unimaginable, dangerous, deadly powers—that grow stronger by the day. It's a terrifying new world. Sides are being chosen, a fight is shaping up. Townies against rich kids. Bullies against the weak. Powerful against powerless. And time is running out: On your 15th birthday, you disappear just like everyone else... English ['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Paranormal', 'Romance', 'Adventure', 'Supernatural', 'Teen'] ['Sam Temple', 'Astrid Ellison', 'Caine Soren', 'Diana Ladris', 'Drake Merwin', 'Quinn Gaither', 'Lana Lazar', 'Little Pete'] ['Perdido Beach, California (United States)']"
Native Son,,Richard Wright,"Right from the start, Bigger Thomas had been headed for jail. It could have been for assault or petty larceny; by chance, it was for murder and rape. Native Son tells the story of this young black man caught in a downward spiral after he kills a young white woman in a brief moment of panic.Set in Chicago in the 1930s, Wright's powerful novel is an unsparing reflection on the poverty and feelings of hopelessness experienced by people in inner cities across the country and of what it means to be black in America.",English,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Literature', 'Race', 'Novels', 'School', 'American', 'Banned Books']","['Bigger Thomas', 'Mary Dalton', 'Mrs. Dalton', 'Henry Dalton', 'Jan Erlone', 'Boris Max', 'Mrs. Thomas', 'Buddy Thomas', 'Vera Thomas']","['Chicago, Illinois (United States)', 'Illinois (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440820866l/15622._SY475_.jpg,"Native Son  Richard Wright Right from the start, Bigger Thomas had been headed for jail. It could have been for assault or petty larceny; by chance, it was for murder and rape. Native Son tells the story of this young black man caught in a downward spiral after he kills a young white woman in a brief moment of panic.Set in Chicago in the 1930s, Wright's powerful novel is an unsparing reflection on the poverty and feelings of hopelessness experienced by people in inner cities across the country and of what it means to be black in America. English ['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Literature', 'Race', 'Novels', 'School', 'American', 'Banned Books'] ['Bigger Thomas', 'Mary Dalton', 'Mrs. Dalton', 'Henry Dalton', 'Jan Erlone', 'Boris Max', 'Mrs. Thomas', 'Buddy Thomas', 'Vera Thomas'] ['Chicago, Illinois (United States)', 'Illinois (United States)']"
